epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.845,0.89131,3.75909,1.29004,0.04221,0.88235,0.27066,0.24014,0.49268,4.12579,1.20644,0.000155883,0.000155883,0.000155883
2,320.735,0.89031,2.95888,1.32394,0.60832,0.70588,0.62041,0.47159,0.68466,3.17601,1.35058,0.000308322,0.000308322,0.000308322
3,491.486,0.91436,2.42572,1.3227,0.6932,0.70588,0.81453,0.65694,0.6072,2.50384,1.34973,0.000454477,0.000454477,0.000454477
4,675.878,0.88269,2.18049,1.30244,0.68164,0.76471,0.84282,0.65763,0.7215,2.0932,1.38161,0.000447726,0.000447726,0.000447726
5,913.944,0.92824,1.90521,1.27863,0.67349,0.82353,0.94818,0.72624,0.71587,2.09919,1.41008,0.000438301,0.000438301,0.000438301
6,1105.09,0.91076,1.74629,1.29161,0.882,0.58824,0.84171,0.71099,0.62027,2.1468,1.30152,0.000428876,0.000428876,0.000428876
7,1296.51,0.86251,1.69784,1.24319,0.72581,0.88235,0.94179,0.71601,0.70606,2.73181,1.48897,0.000419451,0.000419451,0.000419451
8,1466.39,0.83405,1.52575,1.21048,0.75524,0.94118,0.95598,0.74182,0.70417,1.48581,1.34506,0.000410026,0.000410026,0.000410026
9,1652.5,0.82715,1.38223,1.23687,0.70348,0.88235,0.9383,0.77978,0.62124,1.34537,1.32523,0.000400602,0.000400602,0.000400602
10,1800.33,0.82205,1.34909,1.20393,0.79318,0.87054,0.90721,0.72589,0.62368,2.04688,1.29518,0.000391177,0.000391177,0.000391177
11,1939.92,0.79793,1.33091,1.19676,0.86783,0.94118,0.93709,0.77857,0.69899,1.19279,1.35482,0.000381752,0.000381752,0.000381752
12,2081.28,0.82847,1.29449,1.21155,0.8623,0.94118,0.9511,0.75802,0.63219,1.3421,1.40778,0.000372327,0.000372327,0.000372327
13,2216.41,0.80626,1.22892,1.1779,0.76081,0.94118,0.94379,0.74225,0.67414,1.36617,1.35105,0.000362902,0.000362902,0.000362902
14,2347.36,0.7471,1.20338,1.17306,0.77974,0.94118,0.94097,0.74467,0.76718,1.1484,1.44814,0.000353478,0.000353478,0.000353478
15,2479.65,0.75134,1.13336,1.15962,0.85802,0.88235,0.93955,0.77885,0.70898,1.17772,1.34862,0.000344053,0.000344053,0.000344053
16,2611.52,0.78292,1.08149,1.18087,0.80454,0.94118,0.93819,0.74998,0.62358,1.16733,1.37563,0.000334628,0.000334628,0.000334628
17,2819.62,0.81469,1.07065,1.20884,0.75329,0.94118,0.9376,0.76104,0.64914,1.04458,1.35118,0.000325203,0.000325203,0.000325203
18,2954.26,0.74727,0.99308,1.16974,0.87968,0.94118,0.93647,0.77844,0.60703,0.983,1.33197,0.000315778,0.000315778,0.000315778
19,3086.26,0.76225,0.99228,1.17253,0.7908,0.88235,0.9376,0.79043,0.58711,0.94102,1.2474,0.000306354,0.000306354,0.000306354
20,3233.09,0.76444,1.03885,1.18162,0.71338,0.94118,0.93801,0.77296,0.61474,0.98875,1.32483,0.000296929,0.000296929,0.000296929
21,3371.12,0.76022,1.01433,1.1737,0.88382,0.94118,0.93647,0.76774,0.64642,0.94436,1.3898,0.000287504,0.000287504,0.000287504
22,3506.95,0.74949,0.94415,1.16801,0.87503,0.94118,0.94013,0.78539,0.5507,0.86721,1.23597,0.000278079,0.000278079,0.000278079
23,3644.31,0.73973,0.91208,1.12465,0.80034,0.94118,0.93881,0.77891,0.61563,0.84148,1.30129,0.000268654,0.000268654,0.000268654
24,3778.36,0.72703,0.8792,1.15673,0.89015,0.94118,0.94297,0.77454,0.56248,0.78277,1.29788,0.00025923,0.00025923,0.00025923
25,3913.27,0.7217,0.84944,1.12815,0.78911,0.94118,0.94135,0.77405,0.61789,0.92838,1.28006,0.000249805,0.000249805,0.000249805
26,4060.52,0.67927,0.82263,1.11266,0.77806,0.94118,0.93647,0.77844,0.50865,0.82638,1.3025,0.00024038,0.00024038,0.00024038
27,4193.3,0.72259,0.80417,1.13369,0.87033,0.94118,0.93647,0.74332,0.61102,0.78543,1.38502,0.000230955,0.000230955,0.000230955
28,4331.39,0.68432,0.80142,1.10076,0.83118,0.94118,0.93647,0.77259,0.66411,0.76702,1.40659,0.00022153,0.00022153,0.00022153
29,4462.99,0.6987,0.78713,1.13426,0.87148,0.94118,0.93647,0.76674,0.57486,0.73656,1.32399,0.000212106,0.000212106,0.000212106
30,4596.58,0.70347,0.81535,1.12214,0.8785,0.94118,0.93647,0.76088,0.68078,0.75412,1.32774,0.000202681,0.000202681,0.000202681
31,4733.64,0.72368,0.79922,1.13825,0.83582,0.94118,0.93647,0.8038,0.55395,0.72238,1.30595,0.000193256,0.000193256,0.000193256
32,5000.13,0.67794,0.76968,1.10283,0.8318,0.94118,0.93647,0.77844,0.57579,0.74041,1.30318,0.000183831,0.000183831,0.000183831
33,5273.5,0.69162,0.74549,1.12485,0.769,0.94118,0.93647,0.76088,0.62584,0.76035,1.42396,0.000174406,0.000174406,0.000174406
34,5454.65,0.69844,0.73803,1.11532,0.85294,0.94118,0.93647,0.77259,0.59445,0.74253,1.35692,0.000164982,0.000164982,0.000164982
35,5587.1,0.68345,0.72679,1.11784,0.80833,0.94118,0.93647,0.76088,0.60041,0.73966,1.32519,0.000155557,0.000155557,0.000155557
36,5724.45,0.68252,0.72797,1.11789,0.84864,0.94118,0.93647,0.75555,0.68118,0.76312,1.40703,0.000146132,0.000146132,0.000146132
37,5857.74,0.66698,0.73546,1.10021,0.92447,0.94118,0.93647,0.76674,0.60491,0.771,1.39573,0.000136707,0.000136707,0.000136707
38,5989.36,0.65972,0.69995,1.08399,0.79373,0.94118,0.93647,0.78429,0.5985,0.69818,1.31513,0.000127282,0.000127282,0.000127282
39,6120.11,0.66342,0.68663,1.10119,0.79209,0.94118,0.93647,0.77844,0.60602,0.71023,1.3157,0.000117858,0.000117858,0.000117858
40,6255.36,0.63413,0.68684,1.07681,0.88904,0.88235,0.93647,0.79015,0.60436,0.70365,1.30794,0.000108433,0.000108433,0.000108433
41,6398.63,0.54251,0.84834,1.03888,0.89321,0.88235,0.93647,0.77259,0.61884,0.77325,1.33271,9.9008e-05,9.9008e-05,9.9008e-05
42,6528.42,0.55177,0.81848,1.06794,0.82938,0.94118,0.93647,0.796,0.62642,0.74083,1.33734,8.95832e-05,8.95832e-05,8.95832e-05
43,6663.81,0.55136,0.80683,1.04471,0.84562,0.94118,0.93647,0.78429,0.61597,0.72572,1.33379,8.01584e-05,8.01584e-05,8.01584e-05
44,6817.31,0.53527,0.78667,1.03735,0.85635,0.94118,0.93647,0.78429,0.62092,0.73377,1.33811,7.07336e-05,7.07336e-05,7.07336e-05
45,6998.49,0.52717,0.7617,1.04441,0.81768,0.94118,0.93647,0.796,0.58146,0.68534,1.32265,6.13088e-05,6.13088e-05,6.13088e-05
46,7137.34,0.5393,0.75035,1.03859,0.7712,0.94118,0.93647,0.78429,0.58853,0.67616,1.32192,5.1884e-05,5.1884e-05,5.1884e-05
47,7274.24,0.52537,0.74128,1.04955,0.84185,0.88235,0.93647,0.796,0.59956,0.65601,1.33517,4.24592e-05,4.24592e-05,4.24592e-05
48,7408.92,0.51763,0.73743,1.02338,0.7962,0.94118,0.93647,0.77844,0.59747,0.66147,1.32134,3.30344e-05,3.30344e-05,3.30344e-05
49,7541.77,0.50405,0.72027,1.02827,0.80035,0.94118,0.93647,0.77259,0.58086,0.66017,1.31227,2.36096e-05,2.36096e-05,2.36096e-05
50,7706.52,0.51738,0.72763,1.02801,0.81,0.94118,0.93647,0.77259,0.57723,0.67477,1.31605,1.41848e-05,1.41848e-05,1.41848e-05
