epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.715,0.5944,0.97434,1.08396,0.8412,0.88235,0.93647,0.77259,0.86332,0.93797,1.54444,0.00013328,0.00013328,0.00013328
2,497.645,0.59794,0.93355,1.09223,0.85048,0.94118,0.93647,0.76674,0.89125,0.94458,1.57759,0.000244459,0.000244459,0.000244459
3,723.326,0.61514,0.96756,1.11128,0.76439,0.94118,0.93647,0.76674,0.86967,0.94144,1.58713,0.000328307,0.000328307,0.000328307
4,941.298,0.60273,0.92615,1.08854,0.8646,0.94118,0.94013,0.7739,0.90628,0.87722,1.59983,0.000334628,0.000334628,0.000334628
5,1123.22,0.60432,0.91062,1.06959,0.80087,0.94118,0.93647,0.79015,0.7967,0.79303,1.44914,0.000287504,0.000287504,0.000287504
6,1317.98,0.59687,0.8753,1.08418,0.82816,0.94118,0.94135,0.76722,0.84738,0.81516,1.45954,0.00024038,0.00024038,0.00024038
7,1622.65,0.57503,0.85251,1.06183,0.87519,0.94118,0.93729,0.79031,0.82179,0.8186,1.52098,0.000193256,0.000193256,0.000193256
8,1899.94,0.57285,0.8156,1.06401,0.84028,0.88235,0.94065,0.77896,0.8237,0.78913,1.49204,0.000146132,0.000146132,0.000146132
9,2068.9,0.56463,0.80264,1.05262,0.77112,0.94118,0.93647,0.79015,0.84537,0.7912,1.51533,9.9008e-05,9.9008e-05,9.9008e-05
10,2219.16,0.54256,0.77932,1.05068,0.78196,0.94118,0.93702,0.79606,0.80317,0.75645,1.49241,5.1884e-05,5.1884e-05,5.1884e-05
