epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.517,0.91063,3.96797,1.33091,0.06733,0.84211,0.40538,0.3141,0.59322,4.3318,1.32129,0.000142542,0.000142542,0.000142542
2,426.212,0.88616,3.21232,1.31543,0.39189,0.63151,0.60184,0.47963,0.76394,3.10546,1.53786,0.000281849,0.000281849,0.000281849
3,1237.11,0.93254,2.57121,1.31014,0.61117,0.69867,0.76516,0.58896,0.76897,4.08166,1.59239,0.000415414,0.000415414,0.000415414
4,1487.01,0.92599,2.26342,1.3222,0.53017,0.78332,0.80036,0.58281,0.8205,3.83539,1.57724,0.000409161,0.000409161,0.000409161
5,1690.36,0.92067,1.99766,1.298,0.88104,0.63158,0.86844,0.59257,0.89878,2.63865,1.65347,0.000400548,0.000400548,0.000400548
6,1919.74,0.86651,1.77493,1.25298,0.72916,0.77974,0.94263,0.73324,0.75233,2.02811,1.43056,0.000391935,0.000391935,0.000391935
7,2166.6,0.85097,1.7029,1.23794,0.60829,0.84211,0.91208,0.70109,0.81475,2.07183,1.60767,0.000383322,0.000383322,0.000383322
8,2412.25,0.86207,1.60812,1.24061,0.77493,0.89474,0.92954,0.71246,0.76185,1.74423,1.48225,0.000374709,0.000374709,0.000374709
9,2661.79,0.86732,1.48985,1.23614,0.63911,0.94737,0.90772,0.66246,0.78716,1.81595,1.54098,0.000366096,0.000366096,0.000366096
10,2909.48,0.8231,1.39258,1.20729,0.83738,0.78947,0.92048,0.7136,0.83966,1.86381,1.64676,0.000357483,0.000357483,0.000357483
11,3149.43,0.82014,1.36908,1.20581,0.84598,0.84211,0.94491,0.71367,0.82505,1.39917,1.53967,0.00034887,0.00034887,0.00034887
12,3389.88,0.82386,1.26803,1.18273,0.68579,0.89474,0.92393,0.73421,0.84831,1.58409,1.56716,0.000340257,0.000340257,0.000340257
13,3628.48,0.79862,1.23947,1.18703,0.90238,0.89474,0.94263,0.74363,0.85165,1.3557,1.7594,0.000331644,0.000331644,0.000331644
14,3871.8,0.7992,1.2372,1.1673,0.83808,0.84211,0.96009,0.77001,0.77719,1.32608,1.57644,0.000323031,0.000323031,0.000323031
15,4111.96,0.77039,1.14252,1.16348,0.66451,0.94737,0.92954,0.72661,0.79094,1.2557,1.50387,0.000314418,0.000314418,0.000314418
16,4348.82,0.77363,1.17988,1.15098,0.78729,0.94737,0.94666,0.7527,0.80603,1.3136,1.51,0.000305805,0.000305805,0.000305805
17,4586.27,0.77576,1.12681,1.16504,0.65879,0.89474,0.92081,0.71265,0.77413,1.30825,1.44508,0.000297192,0.000297192,0.000297192
18,4822.42,0.77473,1.10427,1.17625,0.71122,0.94737,0.94409,0.73359,0.77103,1.20321,1.43334,0.000288579,0.000288579,0.000288579
19,5064.64,0.76102,1.02292,1.15445,0.79166,0.89474,0.94409,0.75483,0.74741,1.13015,1.39379,0.000279966,0.000279966,0.000279966
20,5308.61,0.77274,0.9827,1.15948,0.75951,0.89474,0.94501,0.76029,0.67959,1.10882,1.38473,0.000271353,0.000271353,0.000271353
21,5557.8,0.73124,0.99469,1.13974,0.76638,0.89474,0.95572,0.75672,0.76194,1.10993,1.37817,0.00026274,0.00026274,0.00026274
22,5800.87,0.71806,0.93899,1.11727,0.83597,0.89474,0.94554,0.76076,0.76273,1.0558,1.46998,0.000254127,0.000254127,0.000254127
23,6042.37,0.75086,0.94106,1.15825,0.75309,0.89474,0.94263,0.75491,0.77749,1.05221,1.53829,0.000245514,0.000245514,0.000245514
24,6287.55,0.74712,0.90372,1.13644,0.78406,0.94737,0.94554,0.76283,0.79825,0.97898,1.47364,0.000236901,0.000236901,0.000236901
25,6533.13,0.71527,0.88976,1.09899,0.75414,0.94737,0.9445,0.73925,0.8516,0.99514,1.50424,0.000228288,0.000228288,0.000228288
26,6773.49,0.75149,0.87947,1.16069,0.72033,0.89474,0.94263,0.75934,0.78971,1.03499,1.51682,0.000219675,0.000219675,0.000219675
27,7017.82,0.74386,0.8712,1.13578,0.86333,0.94737,0.94401,0.71759,0.91377,0.93975,1.59063,0.000211062,0.000211062,0.000211062
28,7270.33,0.71264,0.82317,1.11631,0.83151,0.94737,0.9445,0.78085,0.78483,0.9164,1.55378,0.000202449,0.000202449,0.000202449
29,7492.48,0.72408,0.80844,1.12571,0.80482,0.94737,0.95136,0.75532,0.79569,0.9054,1.50019,0.000193836,0.000193836,0.000193836
30,7677.52,0.69761,0.8253,1.11682,0.7981,0.94737,0.94263,0.76982,0.76959,0.91099,1.55625,0.000185223,0.000185223,0.000185223
31,7842.86,0.69099,0.83798,1.10034,0.82619,0.94737,0.94263,0.7548,0.74882,0.87609,1.48336,0.00017661,0.00017661,0.00017661
32,8008.54,0.68058,0.78773,1.08257,0.8205,0.94737,0.94368,0.78039,0.73687,0.88682,1.45371,0.000167997,0.000167997,0.000167997
33,8174.99,0.66259,0.77128,1.0935,0.79586,0.94737,0.94473,0.7805,0.75332,0.87341,1.43936,0.000159384,0.000159384,0.000159384
34,8343.2,0.69202,0.752,1.09266,0.75763,0.94737,0.94263,0.79076,0.72058,0.87262,1.42492,0.000150771,0.000150771,0.000150771
35,8508.88,0.66821,0.74829,1.09035,0.7631,0.94737,0.94263,0.79076,0.7374,0.85767,1.46656,0.000142158,0.000142158,0.000142158
36,8674.05,0.65209,0.7428,1.09467,0.87361,0.94737,0.94263,0.78029,0.71846,0.85468,1.37349,0.000133545,0.000133545,0.000133545
37,8839.66,0.64568,0.74107,1.07741,0.79477,0.94737,0.94263,0.75934,0.76585,0.86709,1.46551,0.000124932,0.000124932,0.000124932
38,9004.65,0.66366,0.71879,1.09632,0.76931,0.94737,0.94263,0.76982,0.79766,0.88647,1.50108,0.000116319,0.000116319,0.000116319
39,9169.61,0.66014,0.71522,1.08623,0.73364,0.94737,0.94263,0.78553,0.78725,0.8532,1.54333,0.000107706,0.000107706,0.000107706
40,9334.77,0.67738,0.71493,1.1024,0.74825,0.94737,0.94263,0.78029,0.77902,0.85185,1.52726,9.9093e-05,9.9093e-05,9.9093e-05
41,9498.37,0.55154,0.85997,1.0252,0.8426,0.89474,0.94263,0.76982,0.79662,0.96337,1.55058,9.048e-05,9.048e-05,9.048e-05
42,9662.26,0.5497,0.83545,1.03989,0.8158,0.94737,0.94364,0.78039,0.72703,0.8359,1.42576,8.1867e-05,8.1867e-05,8.1867e-05
43,9826.11,0.54905,0.82472,1.03788,0.82567,0.94737,0.94263,0.76982,0.74981,0.84232,1.44367,7.3254e-05,7.3254e-05,7.3254e-05
44,9990.09,0.53316,0.80292,1.01872,0.82002,0.94737,0.94263,0.78029,0.74804,0.80203,1.47234,6.4641e-05,6.4641e-05,6.4641e-05
45,10155.3,0.53846,0.77363,1.00852,0.81438,0.94737,0.94405,0.78567,0.75313,0.79862,1.48697,5.6028e-05,5.6028e-05,5.6028e-05
46,10319,0.51739,0.76743,1.00466,0.83988,0.94737,0.94263,0.78029,0.80311,0.77988,1.55067,4.7415e-05,4.7415e-05,4.7415e-05
47,10483.2,0.52299,0.77261,1.0298,0.80048,0.94737,0.94263,0.78553,0.75023,0.7746,1.50583,3.8802e-05,3.8802e-05,3.8802e-05
48,10646.4,0.51688,0.7429,1.0114,0.83429,0.94737,0.94263,0.796,0.71826,0.77373,1.43419,3.0189e-05,3.0189e-05,3.0189e-05
49,10816.6,0.50689,0.74331,1.01399,0.83145,0.94737,0.94263,0.79076,0.76303,0.75231,1.52299,2.1576e-05,2.1576e-05,2.1576e-05
50,10989.3,0.51623,0.74778,0.99766,0.82009,0.94737,0.94316,0.78558,0.76342,0.75109,1.5179,1.2963e-05,1.2963e-05,1.2963e-05
